# X, Y, VelX, VelY |[0.;0.;0.;0.][396.;340.;392.;340.]
0.94444,0.52941,0.00000,0.00000
0.94444,0.52941,0.00510,0.00588
0.94949,0.53529,-0.00510,0.00000
0.94444,0.53529,0.00000,0.00000
0.94444,0.53529,0.00000,0.00000
0.94444,0.53529,0.00000,0.00000
0.94444,0.53529,0.00510,0.00000
0.94949,0.53529,-0.00510,0.00588
0.94444,0.54118,0.00000,0.00000
0.94444,0.54118,0.00000,0.00000
0.94444,0.54118,0.00000,0.00000
0.94444,0.54118,0.00510,0.00000
0.94949,0.54118,-0.00510,0.00000
0.94444,0.54118,-0.95408,-0.54118
0.00000,0.00000,0.95918,0.53529
0.94949,0.53529,0.00000,0.00588
0.94949,0.54118,0.00000,0.00000
0.94949,0.54118,0.00000,0.00588
0.94949,0.54706,0.00510,0.00000
0.95455,0.54706,-0.00510,-0.01176
0.94949,0.53529,0.00000,-0.01765
0.94949,0.51765,0.00510,-0.01765
0.95455,0.50000,-0.00510,-0.01176
0.94949,0.48824,0.00510,-0.02941
0.95455,0.45882,-0.01020,-0.02941
0.94444,0.42941,0.00510,-0.02941
0.94949,0.40000,-0.01020,-0.01176
0.93939,0.38824,0.00510,-0.01765
0.94444,0.37059,-0.00510,-0.01765
0.93939,0.35294,0.00000,-0.01176
0.93939,0.34118,-0.00510,-0.01176
0.93434,0.32941,0.00000,-0.01176
0.93434,0.31765,0.00000,-0.00588
0.93434,0.31176,-0.00510,-0.00588
0.92929,0.30588,0.00510,-0.00588
0.93434,0.30000,-0.94388,-0.30000
0.00000,0.00000,0.93878,0.30000
0.92929,0.30000,-0.93878,-0.30000
0.00000,0.00000,0.93878,0.31176
0.92929,0.31176,0.00000,0.01176
0.92929,0.32353,0.00510,0.01765
0.93434,0.34118,0.00510,0.01765
0.93939,0.35882,0.00510,0.02941
0.94444,0.38824,0.00000,0.17059
0.94444,0.55882,-0.00510,0.07059
0.93939,0.62941,-0.00510,0.05882
0.93434,0.68824,-0.03061,0.08824
0.90404,0.77647,-0.01531,0.02353
0.88889,0.80000,-0.02551,0.01176
0.86364,0.81176,-0.02041,0.00588
0.84343,0.81765,-0.03061,-0.01765
0.81313,0.80000,-0.01020,-0.01176
0.80303,0.78824,-0.01531,-0.01176
0.78788,0.77647,-0.02551,-0.04118
0.76263,0.73529,-0.01020,-0.08235
0.75253,0.65294,-0.01531,-0.02353
0.73737,0.62941,0.00000,-0.01765
0.73737,0.61176,-0.00510,-0.03529
0.73232,0.57647,-0.00510,-0.02353
0.72727,0.55294,0.00510,-0.01765
0.73232,0.53529,0.00510,-0.00588
0.73737,0.52941,-0.00510,-0.01176
0.73232,0.51765,0.01020,0.00588
0.74242,0.52353,-0.00510,0.01176
0.73737,0.53529,0.00000,0.01765
0.73737,0.55294,0.01531,0.07647
0.75253,0.62941,0.01020,0.01176
0.76263,0.64118,0.01020,0.07647
0.77273,0.71765,0.00510,0.01176
0.77778,0.72941,0.02041,0.04118
0.79798,0.77059,0.06122,0.05294
0.85859,0.82353,0.03571,0.01176
0.89394,0.83529,0.01020,-0.00588
0.90404,0.82941,0.02041,-0.01765
0.92424,0.81176,-0.93367,-0.81176
0.00000,0.00000,1.00000,0.61765
0.98990,0.61765,0.00000,-0.13529
0.98990,0.48235,-0.01531,-0.07059
0.97475,0.41176,-0.00510,-0.02353
0.96970,0.38824,-0.00510,-0.01176
0.96465,0.37647,0.00000,-0.01176
0.96465,0.36471,-0.00510,-0.00588
0.95960,0.35882,-0.00510,-0.00588
0.95455,0.35294,-0.00510,0.00000
0.94949,0.35294,0.00000,0.00588
0.94949,0.35882,0.00000,0.01176
0.94949,0.37059,0.01020,0.01176
0.95960,0.38235,-0.00510,0.01765
0.95455,0.40000,0.01531,0.02353
0.96970,0.42353,0.00510,0.03529
0.97475,0.45882,0.00000,0.01176
0.97475,0.47059,0.01020,0.11765
0.98485,0.58824,-0.99490,-0.58824
0.00000,0.00000,0.99490,0.70000
0.98485,0.70000,-0.03061,0.08235
0.95455,0.78235,-0.00510,0.01176
0.94949,0.79412,-0.01020,-0.00588
0.93939,0.78824,-0.01020,0.00000
0.92929,0.78824,-0.01020,-0.01176
0.91919,0.77647,-0.00510,-0.02941
0.91414,0.74706,-0.00510,-0.02353
0.90909,0.72353,-0.01020,-0.02353
0.89899,0.70000,-0.01020,-0.01765
0.88889,0.68235,0.00510,-0.02941
0.89394,0.65294,-0.01020,-0.01765
0.88384,0.63529,0.00510,-0.02353
0.88889,0.61176,-0.01020,-0.02353
0.87879,0.58824,0.00000,-0.01176
0.87879,0.57647,0.00000,-0.01176
0.87879,0.56471,-0.00510,0.00000
0.87374,0.56471,0.00000,0.00000
0.87374,0.56471,-0.88265,-0.56471
0.00000,0.00000,0.88265,0.56471
0.87374,0.56471,0.00000,0.01176
0.87374,0.57647,0.00000,0.01176
0.87374,0.58824,0.00000,0.01176
0.87374,0.60000,0.00000,0.01765
0.87374,0.61765,0.00000,0.02353
0.87374,0.64118,0.00510,0.01765
0.87879,0.65882,-0.00510,0.02353
0.87374,0.68235,0.01020,0.03529
0.88384,0.71765,0.00510,0.01765
0.88889,0.73529,0.01531,0.02353
0.90404,0.75882,0.01020,0.01176
0.91414,0.77059,0.01531,-0.00588
0.92929,0.76471,0.01531,0.00000
0.94444,0.76471,0.00510,-0.01176
0.94949,0.75294,0.01531,-0.02941
0.96465,0.72353,0.00510,-0.02941
0.96970,0.69412,0.00000,-0.11176
0.96970,0.58235,-0.00510,-0.04706
0.96465,0.53529,0.00000,-0.03529
0.96465,0.50000,0.00000,-0.04706
0.96465,0.45294,-0.01020,-0.02941
0.95455,0.42353,0.00000,-0.01765
0.95455,0.40588,-0.01020,-0.01765
0.94444,0.38824,-0.00510,-0.00588
0.93939,0.38235,-0.94898,-0.38235
0.00000,0.00000,0.94388,0.35882
0.93434,0.35882,0.00000,0.00000
0.93434,0.35882,-0.00510,0.01176
0.92929,0.37059,0.00510,0.00000
0.93434,0.37059,-0.94388,-0.37059
0.00000,0.00000,0.94898,0.38235
0.93939,0.38235,-0.94898,-0.38235
0.00000,0.00000,0.96429,0.44118
0.95455,0.44118,0.01020,0.10000
0.96465,0.54118,0.00000,0.04118
0.96465,0.58235,0.00000,0.04706
0.96465,0.62941,0.00510,0.03529
0.96970,0.66471,-0.02041,0.07059
