# X, Y, VelX, VelY |[  2.;162.;  0.;  0.][290.;314.;102.; 48.]
0.22759,0.59236,0.00000,0.04167
0.22759,0.59873,0.00000,0.08333
0.22759,0.61146,0.00000,0.08333
0.22759,0.62420,0.00000,0.08333
0.22759,0.63694,0.00000,0.12500
0.22759,0.65605,0.01961,0.12500
0.23448,0.67516,0.01961,0.20833
0.24138,0.70701,0.01961,0.16667
0.24828,0.73248,0.03922,0.12500
0.26207,0.75159,0.09804,0.25000
0.29655,0.78981,0.07843,0.16667
0.32414,0.81529,0.05882,0.08333
0.34483,0.82803,0.07843,0.08333
0.37241,0.84076,0.11765,0.08333
0.41379,0.85350,0.11765,-0.04167
0.45517,0.84713,0.07843,-0.08333
0.48276,0.83439,0.15686,-0.25000
0.53793,0.79618,0.05882,-0.12500
0.55862,0.77707,0.13725,-0.50000
0.60690,0.70064,0.03922,-0.16667
0.62069,0.67516,0.07843,-0.37500
0.64828,0.61783,0.07843,-0.41667
0.67586,0.55414,0.07843,-0.41667
0.70345,0.49045,0.07843,-0.41667
0.73103,0.42675,0.07843,-0.37500
0.75862,0.36943,0.09804,-0.54167
0.79310,0.28662,0.03922,-0.25000
0.80690,0.24841,0.03922,-0.25000
0.82069,0.21019,0.03922,-0.41667
0.83448,0.14650,0.05882,-0.20833
0.85517,0.11465,0.01961,-0.16667
0.86207,0.08917,0.01961,-0.16667
0.86897,0.06369,0.01961,-0.12500
0.87586,0.04459,0.03922,-0.08333
0.88966,0.03185,0.00000,-0.04167
0.88966,0.02548,0.01961,-0.08333
0.89655,0.01274,0.00000,-0.04167
0.89655,0.00637,0.00000,-0.04167
0.89655,0.00000,0.00000,0.00000
0.89655,0.00000,0.01961,0.04167
0.90345,0.00637,0.00000,-0.04167
0.90345,0.00000,0.00000,0.04167
0.90345,0.00637,0.00000,0.08333
0.90345,0.01911,-0.01961,0.00000
0.89655,0.01911,-0.01961,0.08333
0.88966,0.03185,0.00000,0.08333
0.88966,0.04459,0.00000,0.04167
0.88966,0.05096,-0.01961,0.20833
0.88276,0.08280,0.00000,0.08333
0.88276,0.09554,0.00000,0.16667
0.88276,0.12102,-0.03922,0.16667
0.86897,0.14650,-0.01961,0.20833
0.86207,0.17834,-0.01961,0.12500
0.85517,0.19745,-0.03922,0.33333
0.84138,0.24841,-0.01961,0.20833
0.83448,0.28025,-0.03922,0.20833
0.82069,0.31210,-0.01961,0.12500
0.81379,0.33121,-0.03922,0.33333
0.80000,0.38217,-0.01961,0.12500
