# X, Y, VelX, VelY |[ 22.;154.;  0.;  0.][276.;318.; 22.; 26.]
0.24638,0.74214,0.00000,0.00000
0.24638,0.74214,0.00000,0.00000
0.24638,0.74214,0.00000,0.00000
0.24638,0.74214,0.00000,0.00000
0.24638,0.74214,0.00000,0.07692
0.24638,0.74843,-0.09091,0.00000
0.23913,0.74843,0.00000,0.00000
0.23913,0.74843,0.00000,-0.07692
0.23913,0.74214,0.00000,0.00000
0.23913,0.74214,0.00000,0.00000
0.23913,0.74214,0.09091,0.00000
0.24638,0.74214,-0.09091,0.00000
0.23913,0.74214,0.00000,0.00000
0.23913,0.74214,0.00000,0.00000
0.23913,0.74214,0.00000,0.00000
0.23913,0.74214,0.00000,0.00000
0.23913,0.74214,0.00000,0.00000
0.23913,0.74214,0.00000,0.00000
0.23913,0.74214,0.09091,0.07692
0.24638,0.74843,-0.09091,0.07692
0.23913,0.75472,0.09091,0.15385
0.24638,0.76730,0.09091,0.07692
0.25362,0.77358,0.09091,0.15385
0.26087,0.78616,0.09091,0.15385
0.26812,0.79874,0.09091,0.07692
0.27536,0.80503,0.18182,0.23077
0.28986,0.82390,0.18182,0.15385
0.30435,0.83648,0.18182,0.15385
0.31884,0.84906,0.36364,0.15385
0.34783,0.86164,0.27273,0.07692
0.36957,0.86792,0.18182,0.00000
0.38406,0.86792,0.36364,0.00000
0.41304,0.86792,0.36364,0.07692
0.44203,0.87421,0.36364,-0.07692
0.47101,0.86792,0.18182,-0.07692
0.48551,0.86164,0.63636,-0.23077
0.53623,0.84277,0.27273,-0.15385
0.55797,0.83019,0.45455,-0.30769
0.59420,0.80503,0.18182,-0.07692
0.60870,0.79874,0.36364,-0.38462
0.63768,0.76730,0.63636,-0.69231
0.68841,0.71069,0.09091,-0.15385
0.69565,0.69811,0.36364,-0.53846
0.72464,0.65409,0.45455,-0.76923
0.76087,0.59119,0.18182,-0.23077
0.77536,0.57233,0.27273,-0.53846
0.79710,0.52830,0.45455,-0.84615
0.83333,0.45912,0.09091,-0.30769
0.84058,0.43396,0.27273,-0.53846
0.86232,0.38994,0.36364,-0.92308
0.89130,0.31447,0.00000,-0.23077
0.89130,0.29560,0.27273,-0.76923
0.91304,0.23270,0.09091,-0.30769
0.92029,0.20755,0.09091,-0.46154
0.92754,0.16981,0.18182,-0.30769
0.94203,0.14465,0.09091,-0.38462
0.94928,0.11321,0.09091,-0.38462
0.95652,0.08176,0.09091,-0.23077
0.96377,0.06289,0.00000,-0.15385
0.96377,0.05031,0.00000,-0.23077
0.96377,0.03145,0.09091,-0.07692
0.97101,0.02516,0.09091,-0.07692
0.97826,0.01887,-0.09091,-0.15385
0.97101,0.00629,0.09091,0.00000
0.97826,0.00629,0.00000,-0.07692
0.97826,0.00000,0.00000,0.07692
0.97826,0.00629,0.00000,0.07692
0.97826,0.01258,0.00000,0.07692
0.97826,0.01887,-0.09091,0.00000
0.97101,0.01887,-0.09091,0.23077
0.96377,0.03774,0.18182,0.15385
0.97826,0.05031,0.00000,0.23077
0.97826,0.06918,-0.09091,0.30769
0.97101,0.09434,0.00000,0.23077
0.97101,0.11321,-0.18182,0.30769
0.95652,0.13836,0.18182,0.30769
0.97101,0.16352,0.00000,0.30769
0.97101,0.18868,0.00000,0.38462
0.97101,0.22013,-0.09091,0.38462
0.96377,0.25157,0.00000,0.30769
0.96377,0.27673,0.00000,0.30769
0.96377,0.30189,-0.09091,0.30769
0.95652,0.32704,0.00000,0.30769
0.95652,0.35220,-0.09091,0.46154
0.94928,0.38994,0.00000,0.23077
0.94928,0.40881,-0.09091,0.38462
0.94203,0.44025,-0.18182,0.38462
0.92754,0.47170,0.09091,0.30769
0.93478,0.49686,-0.09091,0.30769
0.92754,0.52201,0.00000,0.38462
0.92754,0.55346,-0.18182,0.23077
0.91304,0.57233,0.00000,0.38462
0.91304,0.60377,-0.27273,0.30769
0.89130,0.62893,-0.09091,0.23077
0.88406,0.64780,-0.27273,0.46154
0.86232,0.68553,-0.09091,0.15385
0.85507,0.69811,-0.36364,0.46154
0.82609,0.73585,-0.18182,0.30769
0.81159,0.76101,-0.18182,0.07692
0.79710,0.76730,-0.27273,0.30769
0.77536,0.79245,-0.27273,0.23077
0.75362,0.81132,-0.36364,0.23077
0.72464,0.83019,-0.63636,0.38462
0.67391,0.86164,-0.36364,0.15385
0.64493,0.87421,-0.18182,0.07692
0.63043,0.88050,-0.63636,0.15385
0.57971,0.89308,-0.36364,0.07692
0.55072,0.89937,-0.36364,0.15385
0.52174,0.91195,-0.54545,0.00000
0.47826,0.91195,-0.36364,-0.15385
0.44928,0.89937,-0.54545,0.00000
0.40580,0.89937,-0.54545,0.07692
0.36232,0.90566,-0.27273,-0.07692
0.34058,0.89937,-0.63636,0.00000
0.28986,0.89937,-0.36364,-0.23077
0.26087,0.88050,-0.45455,-0.23077
0.22464,0.86164,-0.27273,-0.07692
0.20290,0.85535,-0.36364,-0.23077
0.17391,0.83648,-0.27273,-0.15385
0.15217,0.82390,-0.27273,-0.23077
0.13043,0.80503,-0.36364,-0.30769
0.10145,0.77987,-0.18182,-0.15385
0.08696,0.76730,-0.27273,-0.30769
0.06522,0.74214,-0.09091,-0.15385
0.05797,0.72956,-0.09091,-0.15385
0.05072,0.71698,-0.18182,-0.23077
0.03623,0.69811,-0.09091,-0.23077
0.02899,0.67925,-0.09091,-0.15385
0.02174,0.66667,0.00000,-0.15385
0.02174,0.65409,-0.09091,-0.07692
0.01449,0.64780,0.00000,-0.07692
0.01449,0.64151,0.00000,-0.07692
0.01449,0.63522,0.00000,0.00000
0.01449,0.63522,0.09091,0.07692
0.02174,0.64151,0.00000,0.07692
0.02174,0.64780,0.09091,0.15385
0.02899,0.66038,0.09091,0.15385
0.03623,0.67296,0.09091,0.23077
0.04348,0.69182,0.09091,0.23077
0.05072,0.71069,0.09091,0.15385
0.05797,0.72327,0.18182,0.23077
