# X, Y, VelX, VelY |[212.; 34.;  0.;  0.][198.;322.; 22.; 20.]
0.43434,0.18634,0.00000,-0.10000
0.43434,0.18012,0.00000,-0.10000
0.43434,0.17391,0.09091,-0.10000
0.44444,0.16770,0.18182,-0.20000
0.46465,0.15528,0.27273,-0.30000
0.49495,0.13665,0.54545,-0.20000
0.55556,0.12422,0.54545,-0.20000
0.61616,0.11180,0.63636,0.00000
0.68687,0.11180,0.54545,0.10000
0.74747,0.11801,0.54545,0.20000
0.80808,0.13043,0.36364,0.30000
0.84848,0.14907,0.36364,0.40000
0.88889,0.17391,0.27273,0.50000
0.91919,0.20497,0.18182,0.60000
0.93939,0.24224,0.00000,0.50000
0.93939,0.27329,-0.18182,0.50000
0.91919,0.30435,-0.18182,0.40000
0.89899,0.32919,-0.18182,0.50000
0.87879,0.36025,-0.45455,0.60000
0.82828,0.39752,-0.36364,0.30000
0.78788,0.41615,-0.63636,0.50000
0.71717,0.44720,-0.63636,0.30000
0.64646,0.46584,-0.54545,0.20000
0.58586,0.47826,-0.63636,0.20000
0.51515,0.49068,-0.72727,0.20000
0.43434,0.50311,-0.54545,0.20000
0.37374,0.51553,-0.54545,0.20000
0.31313,0.52795,-0.63636,0.20000
0.24242,0.54037,-0.45455,0.40000
0.19192,0.56522,-0.45455,0.30000
0.14141,0.58385,-0.36364,0.50000
0.10101,0.61491,-0.27273,0.40000
0.07071,0.63975,-0.18182,0.50000
0.05051,0.67081,0.00000,0.50000
0.05051,0.70186,0.09091,0.40000
0.06061,0.72671,0.09091,0.50000
0.07071,0.75776,0.27273,0.30000
0.10101,0.77640,0.36364,0.30000
0.14141,0.79503,0.36364,0.40000
0.18182,0.81988,0.54545,0.30000
0.24242,0.83851,0.54545,0.30000
0.30303,0.85714,0.72727,0.20000
0.38384,0.86957,0.72727,0.10000
0.46465,0.87578,0.63636,0.10000
0.53535,0.88199,0.81818,-0.10000
0.62626,0.87578,0.72727,-0.20000
0.70707,0.86335,0.63636,-0.30000
0.77778,0.84472,0.54545,-0.40000
0.83838,0.81988,0.54545,-0.50000
0.89899,0.78882,0.45455,-0.70000
0.94949,0.74534,0.27273,-0.70000
0.97980,0.70186,0.00000,-0.70000
0.97980,0.65839,-0.09091,-0.60000
0.96970,0.62112,-0.18182,-0.70000
0.94949,0.57764,-0.27273,-0.50000
0.91919,0.54658,-0.36364,-0.40000
