# X, Y, VelX, VelY |[481.;224.;  0.;  0.][759.;589.;741.;553.]
0.62582,0.80815,0.00000,0.00181
0.62582,0.80985,0.00000,0.00181
0.62582,0.81154,0.00000,0.00181
0.62582,0.81324,0.00000,0.00000
0.62582,0.81324,0.00135,0.00362
0.62714,0.81664,-0.00135,0.00000
0.62582,0.81664,-0.00135,0.00362
0.62451,0.82003,-0.00135,0.00181
0.62319,0.82173,-0.00135,0.00181
0.62187,0.82343,-0.00270,0.00362
0.61924,0.82683,-0.00135,0.00181
0.61792,0.82852,-0.00135,0.00181
0.61660,0.83022,-0.00135,0.00362
0.61528,0.83362,-0.00270,0.00181
0.61265,0.83531,0.00000,0.00362
0.61265,0.83871,-0.00135,0.00362
0.61133,0.84211,-0.00135,0.00362
0.61001,0.84550,-0.00405,0.00181
0.60606,0.84720,-0.00135,0.00542
0.60474,0.85229,-0.00135,0.00362
0.60343,0.85569,0.00000,0.00362
0.60343,0.85908,-0.00135,0.00000
0.60211,0.85908,0.00000,0.00362
0.60211,0.86248,-0.00135,0.00181
0.60079,0.86418,0.00135,0.00181
0.60211,0.86587,-0.00135,0.00181
0.60079,0.86757,0.00135,0.00181
0.60211,0.86927,0.00135,0.00362
0.60343,0.87267,-0.00135,0.00362
0.60211,0.87606,-0.00135,-0.00181
0.60079,0.87436,0.00135,0.00000
0.60211,0.87436,0.00000,0.00000
0.60211,0.87436,0.00000,0.00181
0.60211,0.87606,0.00000,-0.00181
0.60211,0.87436,0.00000,0.00000
0.60211,0.87436,0.00000,0.00000
0.60211,0.87436,0.00000,-0.00181
0.60211,0.87267,0.00135,0.00000
0.60343,0.87267,0.00000,-0.00181
0.60343,0.87097,-0.00135,-0.00362
0.60211,0.86757,-0.00135,-0.00181
0.60079,0.86587,0.00135,0.00000
0.60211,0.86587,0.00000,0.00000
0.60211,0.86587,0.00000,0.00000
0.60211,0.86587,0.00000,-0.00181
0.60211,0.86418,0.00000,0.00000
0.60211,0.86418,-0.00135,-0.00181
0.60079,0.86248,0.00000,-0.00181
0.60079,0.86078,-0.00135,0.00000
0.59947,0.86078,-0.00135,0.00000
0.59816,0.86078,0.00135,0.00181
0.59947,0.86248,0.00000,0.00181
0.59947,0.86418,0.00000,0.00000
0.59947,0.86418,0.00000,-0.00181
0.59947,0.86248,0.00135,0.00000
0.60079,0.86248,0.00000,-0.00362
0.60079,0.85908,0.00135,-0.00362
0.60211,0.85569,0.00000,-0.00181
0.60211,0.85399,0.00000,-0.00181
0.60211,0.85229,0.00000,0.00000
0.60211,0.85229,0.00000,-0.00362
0.60211,0.84890,0.00135,-0.00362
0.60343,0.84550,0.00270,-0.00181
0.60606,0.84380,0.00270,0.00181
0.60870,0.84550,0.00540,0.00181
0.61397,0.84720,0.00270,0.00000
0.61660,0.84720,0.00405,0.00000
0.62055,0.84720,0.00135,0.00181
0.62187,0.84890,0.00135,-0.00181
0.62319,0.84720,0.00135,0.00000
0.62451,0.84720,0.00135,0.00181
0.62582,0.84890,-0.00270,-0.00181
0.62319,0.84720,0.00000,0.00181
0.62319,0.84890,-0.00135,-0.00181
0.62187,0.84720,-0.00270,0.00000
0.61924,0.84720,0.00135,0.00000
0.62055,0.84720,0.00000,0.00000
0.62055,0.84720,0.00000,0.00000
0.62055,0.84720,0.00135,-0.00181
0.62187,0.84550,0.00000,0.00000
0.62187,0.84550,0.00135,0.00000
0.62319,0.84550,0.00000,0.00181
0.62319,0.84720,0.00135,0.00000
0.62451,0.84720,0.00270,0.00000
0.62714,0.84720,0.00135,0.00000
0.62846,0.84720,0.00270,0.00000
0.63109,0.84720,0.00270,0.00000
0.63373,0.84720,0.00000,0.00000
0.63373,0.84720,0.00270,0.00181
0.63636,0.84890,0.00000,-0.00181
0.63636,0.84720,0.00270,-0.00181
0.63900,0.84550,0.00270,0.00000
0.64163,0.84550,0.00270,0.00181
0.64427,0.84720,0.00135,0.00181
0.64559,0.84890,0.00000,0.00000
0.64559,0.84890,0.00135,0.00362
0.64690,0.85229,0.00000,0.00181
0.64690,0.85399,-0.00135,0.00181
0.64559,0.85569,0.00000,0.00542
0.64559,0.86078,0.00135,0.00181
0.64690,0.86248,0.00000,0.00000
0.64690,0.86248,-0.00270,0.00000
0.64427,0.86248,0.00000,0.00000
0.64427,0.86248,0.00135,0.00181
0.64559,0.86418,-0.00135,-0.00181
0.64427,0.86248,0.00000,0.00181
0.64427,0.86418,-0.00270,0.00000
0.64163,0.86418,0.00000,0.00181
0.64163,0.86587,0.00135,0.00181
0.64295,0.86757,-0.00135,0.00542
0.64163,0.87267,-0.00135,0.00181
0.64032,0.87436,-0.00135,0.00362
0.63900,0.87776,-0.00135,0.00000
0.63768,0.87776,-0.00135,0.00000
0.63636,0.87776,0.00000,0.00000
0.63636,0.87776,-0.00135,-0.00181
0.63505,0.87606,0.00000,-0.00181
0.63505,0.87436,0.00135,-0.00181
0.63636,0.87267,-0.00270,-0.00362
0.63373,0.86927,0.00135,-0.00181
0.63505,0.86757,0.00000,0.00000
0.63505,0.86757,0.00270,0.00362
0.63768,0.87097,0.00000,0.00000
0.63768,0.87097,0.00135,0.00181
0.63900,0.87267,0.00135,0.00362
0.64032,0.87606,-0.00135,0.00000
0.63900,0.87606,0.00000,0.00181
0.63900,0.87776,0.00000,0.00000
0.63900,0.87776,-0.00270,-0.00181
0.63636,0.87606,0.00000,0.00362
0.63636,0.87946,0.00135,0.00000
0.63768,0.87946,0.00000,0.00000
0.63768,0.87946,0.00000,0.00000
0.63768,0.87946,0.00000,0.00000
0.63768,0.87946,0.00000,0.00000
0.63768,0.87946,0.00135,0.00181
0.63900,0.88115,-0.00270,0.00000
0.63636,0.88115,0.00000,0.00000
0.63636,0.88115,-0.00135,-0.00181
