# X, Y, VelX, VelY |[ 74.;128.;  0.;  0.][328.;272.;108.;184.]
0.40854,0.71324,0.00000,0.02174
0.40854,0.72794,-0.01852,0.01087
0.40244,0.73529,0.01852,0.03261
0.40854,0.75735,-0.03704,0.03261
0.39634,0.77941,-0.01852,0.03261
0.39024,0.80147,0.01852,0.03261
0.39634,0.82353,-0.05556,0.03261
0.37805,0.84559,-0.01852,0.02174
0.37195,0.86029,-0.03704,0.02174
0.35976,0.87500,-0.03704,0.01087
0.34756,0.88235,-0.05556,0.00000
0.32927,0.88235,-0.05556,-0.03261
0.31098,0.86029,-0.03704,-0.03261
0.29878,0.83824,-0.05556,-0.05435
0.28049,0.80147,-0.03704,-0.03261
0.26829,0.77941,-0.05556,-0.07609
0.25000,0.72794,-0.01852,-0.05435
0.24390,0.69118,-0.01852,-0.08696
0.23780,0.63235,0.07407,-0.16304
0.26220,0.52206,0.01852,-0.06522
0.26829,0.47794,0.05556,-0.05435
0.28659,0.44118,0.07407,-0.03261
0.31098,0.41912,0.05556,-0.02174
0.32927,0.40441,0.07407,0.00000
0.35366,0.40441,0.22222,0.02174
0.42683,0.41912,0.12963,0.05435
0.46951,0.45588,0.29630,0.13043
0.56707,0.54412,0.11111,0.04348
0.60366,0.57353,0.12963,0.06522
0.64634,0.61765,0.09259,0.04348
0.67683,0.64706,0.11111,0.05435
0.71341,0.68382,0.14815,0.06522
0.76220,0.72794,0.14815,0.04348
0.81098,0.75735,0.05556,0.04348
0.82927,0.78676,0.09259,0.00000
0.85976,0.78676,0.07407,0.01087
0.88415,0.79412,0.03704,-0.02174
0.89634,0.77941,0.05556,-0.02174
0.91463,0.76471,0.07407,-0.03261
0.93902,0.74265,0.01852,-0.06522
0.94512,0.69853,0.00000,-0.08696
0.94512,0.63971,0.05556,-0.05435
0.96341,0.60294,0.00000,-0.05435
0.96341,0.56618,-0.05556,-0.09783
0.94512,0.50000,-0.05556,-0.04348
0.92683,0.47059,-0.01852,-0.02174
0.92073,0.45588,-0.01852,-0.01087
0.91463,0.44853,-0.05556,0.00000
0.89634,0.44853,-0.03704,0.01087
0.88415,0.45588,-0.03704,0.02174
0.87195,0.47059,-0.05556,0.03261
0.85366,0.49265,-0.05556,0.04348
0.83537,0.52206,-0.03704,0.04348
0.82317,0.55147,-0.12963,0.08696
0.78049,0.61029,0.00000,0.00000
0.78049,0.61029,-0.14815,0.09783
0.73171,0.67647,-0.01852,0.01087
0.72561,0.68382,-0.11111,0.04348
0.68902,0.71324,-0.09259,0.04348
0.65854,0.74265,-0.11111,0.04348
0.62195,0.77206,-0.05556,0.01087
0.60366,0.77941,-0.12963,0.04348
0.56098,0.80882,-0.18519,0.03261
0.50000,0.83088,-0.03704,0.00000
0.48780,0.83088,-0.14815,-0.01087
0.43902,0.82353,-0.05556,0.00000
0.42073,0.82353,-0.16667,-0.02174
0.36585,0.80882,-0.09259,-0.02174
0.33537,0.79412,-0.11111,-0.01087
0.29878,0.78676,-0.05556,-0.03261
0.28049,0.76471,-0.12963,-0.03261
0.23780,0.74265,-0.07407,-0.03261
0.21341,0.72059,-0.07407,-0.03261
0.18902,0.69853,-0.03704,-0.04348
0.17683,0.66912,-0.09259,-0.04348
0.14634,0.63971,-0.03704,-0.05435
0.13415,0.60294,-0.01852,-0.04348
0.12805,0.57353,-0.03704,-0.03261
0.11585,0.55147,-0.01852,-0.03261
0.10976,0.52941,-0.01852,-0.03261
0.10366,0.50735,0.00000,-0.01087
0.10366,0.50000,0.00000,-0.01087
0.10366,0.49265,0.00000,0.02174
0.10366,0.50735,-0.01852,0.02174
0.09756,0.52206,0.03704,0.04348
0.10976,0.55147,-0.01852,0.05435
0.10366,0.58824,0.00000,0.05435
0.10366,0.62500,0.05556,0.06522
0.12195,0.66912,0.03704,0.07609
0.13415,0.72059,0.01852,0.07609
0.14024,0.77206,0.09259,0.06522
0.17073,0.81618,0.09259,0.07609
0.20122,0.86765,0.05556,0.06522
0.21951,0.91176,0.09259,0.04348
0.25000,0.94118,0.07407,0.02174
0.27439,0.95588,0.07407,0.01087
0.29878,0.96324,0.07407,0.00000
0.32317,0.96324,0.07407,0.00000
0.34756,0.96324,0.05556,-0.02174
0.36585,0.94853,0.12963,-0.21739
0.40854,0.80147,0.38889,-0.93478
0.53659,0.16912,0.01852,-0.02174
0.54268,0.15441,0.05556,-0.04348
0.56098,0.12500,0.00000,-0.02174
0.56098,0.11029,0.01852,-0.01087
0.56707,0.10294,0.01852,-0.01087
0.57317,0.09559,0.00000,0.00000
0.57317,0.09559,0.00000,0.01087
0.57317,0.10294,-0.01852,0.02174
0.56707,0.11765,0.00000,0.00000
0.56707,0.11765,-0.03704,0.04348
0.55488,0.14706,-0.03704,0.04348
0.54268,0.17647,-0.12963,0.17391
0.50000,0.29412,-0.22222,0.79348
0.42683,0.83088,0.01852,0.05435
0.43293,0.86765,-0.05556,0.04348
0.41463,0.89706,0.00000,0.03261
0.41463,0.91912,-0.01852,0.02174
0.40854,0.93382,-0.01852,0.01087
0.40244,0.94118,-0.03704,0.00000
0.39024,0.94118,-0.03704,-0.02174
0.37805,0.92647,-0.03704,-0.02174
0.36585,0.91176,-0.01852,-0.05435
0.35976,0.87500,-0.09259,-0.18478
0.32927,0.75000,-0.01852,-0.10870
0.32317,0.67647,0.01852,-0.22826
0.32927,0.52206,0.03704,-0.06522
0.34146,0.47794,0.05556,-0.04348
0.35976,0.44853,0.09259,-0.03261
0.39024,0.42647,0.03704,-0.02174
0.40244,0.41176,0.07407,0.00000
0.42683,0.41176,0.07407,-0.01087
0.45122,0.40441,0.05556,0.01087
0.46951,0.41176,0.07407,0.02174
0.49390,0.42647,0.09259,0.01087
0.52439,0.43382,0.07407,0.02174
0.54878,0.44853,0.03704,0.03261
0.56098,0.47059,0.07407,0.04348
0.58537,0.50000,0.09259,0.03261
0.61585,0.52206,0.07407,0.05435
0.64024,0.55882,0.01852,0.02174
0.64634,0.57353,0.09259,0.04348
0.67683,0.60294,0.05556,0.05435
0.69512,0.63971,0.07407,0.02174
0.71951,0.65441,0.03704,0.04348
0.73171,0.68382,0.05556,0.03261
