# X, Y, VelX, VelY |[105.;186.;  0.;  0.][439.; 25.;413.; 15.]
0.94533,1.00000,0.00000,0.00000
0.94533,1.00000,-0.00484,0.00000
0.94077,1.00000,-0.00726,0.00000
0.93394,1.00000,-0.01453,-0.13333
0.92027,0.92000,-0.01937,-0.13333
0.90205,0.84000,-0.01937,-0.20000
0.88383,0.72000,-0.02058,-0.03333
0.86446,0.70000,-0.02421,-0.13333
0.84169,0.62000,-0.03269,-0.16667
0.81093,0.52000,-0.02906,-0.06667
0.78360,0.48000,-0.03148,-0.06667
0.75399,0.44000,-0.03632,0.00000
0.71982,0.44000,-0.03632,-0.06667
0.68565,0.40000,-0.03874,-0.06667
0.64920,0.36000,-0.03874,-0.06667
0.61276,0.32000,-0.03874,0.00000
0.57631,0.32000,-0.03632,0.00000
0.54214,0.32000,-0.03632,0.06667
0.50797,0.36000,-0.03632,0.00000
0.47380,0.36000,-0.03390,0.06667
0.44191,0.40000,-0.03390,0.00000
0.41002,0.40000,-0.03390,0.00000
0.37813,0.40000,-0.03148,0.00000
0.34852,0.40000,-0.03148,0.00000
0.31891,0.40000,-0.02906,0.06667
0.29157,0.44000,-0.02906,-0.06667
0.26424,0.40000,-0.02663,0.00000
0.23918,0.40000,-0.02300,-0.06667
0.21754,0.36000,-0.02542,0.00000
0.19362,0.36000,-0.02421,-0.06667
0.17084,0.32000,-0.01695,0.00000
0.15490,0.32000,-0.01937,0.00000
0.13667,0.32000,-0.01695,0.06667
0.12073,0.36000,-0.01453,0.00000
0.10706,0.36000,-0.01453,0.13333
0.09339,0.44000,-0.01453,0.06667
0.07973,0.48000,-0.01211,0.06667
0.06834,0.52000,-0.00726,0.13333
0.06150,0.60000,-0.00726,0.06667
0.05467,0.64000,-0.00242,0.06667
0.05239,0.68000,0.00000,0.00000
0.05239,0.68000,0.96852,0.33333
0.96355,0.88000,-0.00484,0.00000
0.95900,0.88000,-0.00484,0.06667
0.95444,0.92000,-0.00969,0.00000
0.94533,0.92000,-0.01453,-0.06667
0.93166,0.88000,-0.01695,-0.06667
0.91572,0.84000,-0.02179,-0.06667
0.89522,0.80000,-0.02179,-0.13333
0.87472,0.72000,-0.02663,-0.13333
0.84966,0.64000,-0.02663,-0.13333
0.82460,0.56000,-0.02906,-0.06667
0.79727,0.52000,-0.03148,-0.06667
0.76765,0.48000,-0.03148,-0.13333
0.73804,0.40000,-0.03148,0.00000
0.70843,0.40000,-0.03148,-0.06667
0.67882,0.36000,-0.03390,0.00000
