# X, Y, VelX, VelY |[ 85. ;192.5;  0. ;  0. ][455. ; 38.5; 21. ;  4. ]
0.94505,0.63636,-0.04762,-0.25000
0.94286,0.61039,-0.04762,0.00000
0.94066,0.61039,-0.09524,0.25000
0.93626,0.63636,-0.19048,-0.25000
0.92747,0.61039,-0.28571,-0.25000
0.91429,0.58442,-0.38095,-0.25000
0.89670,0.55844,-0.40476,-0.62500
0.87802,0.49351,-0.59524,-0.37500
0.85055,0.45455,-0.66667,-0.50000
0.81978,0.40260,-0.76190,-0.50000
0.78462,0.35065,-0.80952,-0.50000
0.74725,0.29870,-0.85714,-0.50000
0.70769,0.24675,-0.85714,-0.50000
0.66813,0.19481,-0.95238,-0.25000
0.62418,0.16883,-1.00000,-0.50000
0.57802,0.11688,-0.95238,0.00000
0.53407,0.11688,-1.00000,-0.25000
0.48791,0.09091,-0.95238,0.00000
0.44396,0.09091,-0.95238,0.00000
0.40000,0.09091,-0.90476,0.00000
0.35824,0.09091,-0.90476,0.00000
0.31648,0.09091,-0.76190,0.25000
0.28132,0.11688,-0.76190,0.00000
0.24615,0.11688,-0.71429,0.25000
0.21319,0.14286,-0.66667,0.00000
0.18242,0.14286,-0.57143,0.00000
0.15604,0.14286,-0.57143,0.25000
0.12967,0.16883,-0.52381,0.25000
0.10549,0.19481,-0.28571,0.25000
0.09231,0.22078,-0.14286,0.25000
0.08571,0.24675,0.00000,0.25000
0.08571,0.27273,0.09524,0.00000
0.09011,0.27273,0.23810,0.00000
0.10110,0.27273,0.00000,0.00000
0.93187,0.53247,0.00000,0.25000
0.93187,0.55844,-0.09524,0.00000
0.92747,0.55844,-0.14286,0.25000
0.92088,0.58442,-0.23810,0.00000
0.90989,0.58442,-0.38095,0.00000
0.89231,0.58442,-0.42857,0.00000
0.87253,0.58442,-0.52381,0.00000
0.84835,0.58442,-0.52381,-0.25000
0.82418,0.55844,-0.66667,-0.25000
0.79341,0.53247,-0.71429,-0.25000
0.76044,0.50649,-0.71429,-0.25000
0.72747,0.48052,-0.76190,-0.50000
0.69231,0.42857,-0.80952,-0.50000
0.65495,0.37662,-0.76190,0.00000
0.61978,0.37662,-0.76190,-0.50000
0.58462,0.32468,-0.80952,-0.50000
0.54725,0.27273,-0.80952,-0.25000
0.50989,0.24675,-0.76190,-0.25000
0.47473,0.22078,-0.71429,-0.50000
0.44176,0.16883,-0.71429,-0.25000
0.40879,0.14286,-0.61905,-0.25000
0.38022,0.11688,-0.61905,-0.25000
0.35165,0.09091,-0.57143,-0.25000
0.32527,0.06494,-0.47619,-0.25000
0.30330,0.03896,-0.52381,0.00000
0.27912,0.03896,-0.52381,-0.37500
0.25495,0.00000,-0.59524,1.00000
0.22747,0.10390,-0.40476,-0.37500
0.20879,0.06494,-0.47619,0.25000
0.18681,0.09091,-0.52381,0.50000
0.16264,0.14286,-0.47619,0.25000
0.14066,0.16883,-0.38095,0.50000
0.12308,0.22078,-0.33333,0.50000
0.10769,0.27273,-0.19048,0.25000
0.09890,0.29870,-0.09524,0.50000
0.09451,0.35065,0.09524,0.00000
0.09890,0.35065,0.00000,0.00000
0.91429,0.61039,0.00000,0.00000
0.91429,0.61039,-0.09524,0.00000
0.90989,0.61039,-0.14286,0.00000
0.90330,0.61039,-0.23810,0.00000
0.89231,0.61039,-0.38095,-0.25000
0.87473,0.58442,-0.52381,-0.25000
0.85055,0.55844,-0.57143,0.00000
0.82418,0.55844,-0.66667,-0.25000
0.79341,0.53247,-0.71429,-0.50000
0.76044,0.48052,-0.80952,-0.25000
0.72308,0.45455,-0.80952,-0.25000
0.68571,0.42857,-0.80952,0.00000
0.64835,0.42857,-0.80952,-0.50000
0.61099,0.37662,-0.80952,0.00000
0.57363,0.37662,-0.76190,-0.50000
0.53846,0.32468,-0.76190,0.00000
0.50330,0.32468,-0.71429,-0.25000
0.47033,0.29870,-0.71429,-0.25000
0.43736,0.27273,-0.66667,-0.25000
0.40659,0.24675,-0.61905,-0.25000
0.37802,0.22078,-0.57143,0.00000
0.35165,0.22078,-0.61905,-0.25000
0.32308,0.19481,-0.52381,0.00000
0.29890,0.19481,-0.52381,-0.25000
0.27473,0.16883,-0.47619,0.25000
0.25275,0.19481,-0.47619,0.00000
0.23077,0.19481,-0.47619,0.25000
0.20879,0.22078,-0.42857,0.00000
0.18901,0.22078,-0.42857,0.00000
0.16923,0.22078,-0.38095,0.00000
0.15165,0.22078,-0.33333,0.00000
0.13626,0.22078,-0.19048,0.00000
0.12747,0.22078,-0.04762,0.00000
0.12527,0.22078,0.04762,-0.25000
0.12747,0.19481,0.00000,0.00000
0.90769,0.55844,-0.19048,-0.25000
0.89890,0.53247,-0.23810,0.00000
0.88791,0.53247,-0.38095,-0.25000
0.87033,0.50649,-0.52381,-0.25000
0.84615,0.48052,-0.47619,-0.25000
0.82418,0.45455,-0.61905,-0.25000
0.79560,0.42857,-0.71429,0.00000
0.76264,0.42857,-0.71429,-0.25000
0.72967,0.40260,-0.76190,0.00000
0.69451,0.40260,-0.80952,-0.25000
0.65714,0.37662,-0.76190,0.00000
0.62198,0.37662,-0.80952,-0.25000
0.58462,0.35065,-0.85714,-0.25000
0.54505,0.32468,-0.76190,0.00000
0.50989,0.32468,-0.76190,-0.25000
0.47473,0.29870,-0.71429,0.00000
0.44176,0.29870,-0.66667,0.00000
0.41099,0.29870,-0.66667,0.00000
0.38022,0.29870,-0.61905,-0.25000
0.35165,0.27273,-0.57143,0.00000
0.32527,0.27273,-0.57143,0.25000
0.29890,0.29870,-0.52381,0.00000
0.27473,0.29870,-0.47619,0.00000
0.25275,0.29870,-0.47619,0.00000
0.23077,0.29870,-0.38095,0.00000
0.21319,0.29870,-0.42857,-0.25000
0.19341,0.27273,-0.42857,0.00000
0.17363,0.27273,-0.42857,0.00000
0.15385,0.27273,-0.38095,-0.25000
0.13626,0.24675,-0.38095,0.25000
0.11868,0.27273,-0.19048,0.00000
0.10989,0.27273,-0.04762,0.00000
0.10769,0.27273,0.00000,0.00000
0.10769,0.27273,0.00000,0.00000
0.93407,0.42857,-0.14286,0.00000
0.92747,0.42857,-0.23810,0.00000
0.91648,0.42857,-0.42857,0.25000
0.89670,0.45455,-0.52381,0.00000
0.87253,0.45455,-0.57143,0.00000
0.84615,0.45455,-0.71429,0.00000
0.81319,0.45455,-0.76190,-0.25000
0.77802,0.42857,-0.80952,0.00000
0.74066,0.42857,-0.85714,-0.50000
0.70110,0.37662,-0.95238,-0.25000
0.65714,0.35065,-0.85714,-0.50000
0.61758,0.29870,-0.85714,-0.25000
0.57802,0.27273,-0.90476,-0.25000
0.53626,0.24675,-0.80952,-0.25000
0.49890,0.22078,-0.80952,-0.25000
0.46154,0.19481,-0.76190,0.00000
0.42637,0.19481,-0.71429,0.00000
0.39341,0.19481,-0.61905,-0.25000
0.36484,0.16883,-0.61905,0.00000
0.33626,0.16883,-0.57143,0.25000
0.30989,0.19481,-0.47619,0.00000
0.28791,0.19481,-0.47619,0.25000
0.26593,0.22078,-0.42857,0.00000
0.24615,0.22078,-0.42857,0.25000
0.22637,0.24675,-0.38095,0.25000
0.20879,0.27273,-0.42857,0.00000
0.18901,0.27273,-0.38095,0.00000
0.17143,0.27273,-0.28571,0.00000
0.15824,0.27273,-0.19048,0.25000
0.14945,0.29870,0.00000,0.00000
0.98022,0.68831,-0.14286,0.00000
0.97363,0.68831,-0.23810,0.00000
0.96264,0.68831,-0.33333,-0.25000
0.94725,0.66234,-0.42857,-0.25000
0.92747,0.63636,-0.47619,-0.25000
0.90549,0.61039,-0.52381,-0.25000
0.88132,0.58442,-0.61905,-0.25000
0.85275,0.55844,-0.71429,-0.50000
0.81978,0.50649,-0.71429,-0.25000
0.78681,0.48052,-0.76190,-0.50000
0.75165,0.42857,-0.76190,-0.25000
0.71648,0.40260,-0.76190,-0.25000
0.68132,0.37662,-0.76190,-0.25000
0.64615,0.35065,-0.76190,-0.25000
0.61099,0.32468,-0.76190,-0.25000
0.57582,0.29870,-0.66667,0.00000
0.54505,0.29870,-0.71429,-0.25000
0.51209,0.27273,-0.66667,0.00000
0.48132,0.27273,-0.61905,0.00000
0.45275,0.27273,-0.61905,0.00000
0.42418,0.27273,-0.61905,-0.25000
0.39560,0.24675,-0.57143,0.00000
0.36923,0.24675,-0.52381,0.00000
0.34505,0.24675,-0.52381,0.00000
0.32088,0.24675,-0.47619,0.00000
0.29890,0.24675,-0.47619,0.00000
0.27692,0.24675,-0.47619,-0.25000
0.25495,0.22078,-0.47619,0.00000
0.23297,0.22078,-0.47619,0.00000
0.21099,0.22078,-0.47619,-0.25000
0.18901,0.19481,-0.42857,0.00000
0.16923,0.19481,-0.42857,-0.25000
0.14945,0.16883,-0.38095,0.00000
0.13187,0.16883,-0.33333,0.00000
0.11648,0.16883,-0.23810,0.00000
0.10549,0.16883,-0.14286,0.00000
0.09890,0.16883,0.00000,-0.25000
0.09890,0.14286,0.14286,0.25000
0.10549,0.16883,0.23810,-0.25000
0.11648,0.14286,0.00000,0.00000
0.93846,0.71429,-0.14286,0.00000
0.93187,0.71429,-0.19048,0.25000
0.92308,0.74026,-0.28571,-0.25000
0.90989,0.71429,-0.38095,-0.25000
0.89231,0.68831,-0.47619,-0.25000
0.87033,0.66234,-0.47619,-0.25000
0.84835,0.63636,-0.57143,-0.25000
0.82198,0.61039,-0.61905,-0.50000
0.79341,0.55844,-0.61905,-0.50000
0.76484,0.50649,-0.61905,-0.25000
0.73626,0.48052,-0.66667,-0.50000
0.70549,0.42857,-0.66667,-0.50000
0.67473,0.37662,-0.66667,-0.25000
0.64396,0.35065,-0.71429,-0.50000
0.61099,0.29870,-0.66667,-0.25000
0.58022,0.27273,-0.66667,-0.25000
0.54945,0.24675,-0.66667,0.00000
0.51868,0.24675,-0.71429,-0.25000
0.48571,0.22078,-0.66667,0.00000
0.45495,0.22078,-0.66667,0.00000
0.42418,0.22078,-0.61905,0.25000
0.39560,0.24675,-0.66667,0.00000
0.36484,0.24675,-0.61905,0.25000
0.33626,0.27273,-0.61905,0.25000
0.30769,0.29870,-0.61905,0.00000
0.27912,0.29870,-0.57143,0.25000
0.25275,0.32468,-0.52381,0.25000
0.22857,0.35065,-0.42857,0.00000
0.20879,0.35065,-0.42857,0.25000
0.18901,0.37662,-0.38095,0.00000
0.17143,0.37662,-0.38095,0.25000
0.15385,0.40260,-0.38095,0.25000
0.13626,0.42857,-0.38095,0.25000
0.11868,0.45455,-0.33333,0.00000
0.10330,0.45455,-0.33333,0.00000
0.08791,0.45455,-0.33333,0.00000
0.07253,0.45455,-0.28571,-0.25000
0.05934,0.42857,-0.19048,0.00000
0.05055,0.42857,0.00000,0.00000
0.05055,0.42857,0.00000,0.00000
0.89451,0.58442,-0.19048,-0.25000
0.88571,0.55844,-0.23810,-0.25000
0.87473,0.53247,-0.38095,-0.25000
0.85714,0.50649,-0.38095,-0.25000
0.83956,0.48052,-0.42857,0.00000
0.81978,0.48052,-0.47619,-0.25000
0.79780,0.45455,-0.52381,-0.25000
0.77363,0.42857,-0.57143,0.00000
0.74725,0.42857,-0.52381,0.25000
0.72308,0.45455,-0.61905,-0.25000
0.69451,0.42857,-0.57143,0.00000
0.66813,0.42857,-0.57143,0.00000
0.64176,0.42857,-0.57143,-0.25000
0.61538,0.40260,-0.61905,0.00000
0.58681,0.40260,-0.61905,-0.25000
0.55824,0.37662,-0.61905,-0.25000
0.52967,0.35065,-0.61905,0.00000
0.50110,0.35065,-0.66667,-0.25000
0.47033,0.32468,-0.66667,0.00000
0.43956,0.32468,-0.61905,0.00000
0.41099,0.32468,-0.61905,0.00000
0.38242,0.32468,-0.66667,-0.25000
0.35165,0.29870,-0.57143,0.00000
0.32527,0.29870,-0.61905,0.00000
0.29670,0.29870,-0.57143,0.00000
0.27033,0.29870,-0.57143,0.00000
0.24396,0.29870,-0.52381,-0.25000
0.21978,0.27273,-0.52381,0.25000
0.19560,0.29870,-0.47619,0.00000
0.17363,0.29870,-0.42857,0.00000
0.15385,0.29870,-0.38095,0.25000
0.13626,0.32468,-0.38095,0.25000
0.11868,0.35065,-0.28571,0.25000
0.10549,0.37662,-0.09524,0.25000
0.10110,0.40260,0.00000,-0.25000
0.10110,0.37662,0.00000,0.00000
0.90330,0.45455,0.00000,0.25000
0.90330,0.48052,-0.09524,0.25000
0.89890,0.50649,-0.14286,0.00000
0.89231,0.50649,-0.19048,0.00000
0.88352,0.50649,-0.28571,0.25000
0.87033,0.53247,-0.38095,-0.25000
0.85275,0.50649,-0.47619,0.00000
0.83077,0.50649,-0.52381,-0.25000
0.80659,0.48052,-0.57143,-0.25000
0.78022,0.45455,-0.66667,-0.25000
0.74945,0.42857,-0.66667,-0.25000
0.71868,0.40260,-0.71429,-0.25000
0.68571,0.37662,-0.71429,-0.25000
0.65275,0.35065,-0.76190,-0.25000
0.61758,0.32468,-0.71429,-0.25000
0.58462,0.29870,-0.66667,-0.25000
0.55385,0.27273,-0.71429,0.00000
0.52088,0.27273,-0.71429,-0.25000
0.48791,0.24675,-0.66667,0.00000
0.45714,0.24675,-0.71429,0.00000
0.42418,0.24675,-0.71429,0.00000
0.39121,0.24675,-0.61905,0.00000
0.36264,0.24675,-0.66667,0.25000
0.33187,0.27273,-0.66667,-0.25000
0.30110,0.24675,-0.61905,0.00000
0.27253,0.24675,-0.52381,0.00000
0.24835,0.24675,-0.47619,0.25000
0.22637,0.27273,-0.57143,0.00000
