# X, Y, VelX, VelY |[ 52.;208.;  0.;  0.][502.; 37.; 15.;  2.]
1.00000,0.97297,0.00000,0.50000
1.00000,1.00000,-0.06667,0.00000
0.99801,1.00000,0.00000,-0.50000
0.99801,0.97297,0.00000,0.00000
0.99801,0.97297,0.00000,-0.50000
0.99801,0.94595,0.00000,0.00000
0.99801,0.94595,0.00000,-0.50000
0.99801,0.91892,-0.06667,0.00000
0.99602,0.91892,-0.06667,0.00000
0.99402,0.91892,0.00000,0.50000
0.99402,0.94595,0.00000,0.00000
0.99402,0.94595,-0.06667,0.50000
0.99203,0.97297,-0.06667,0.00000
0.99004,0.97297,-0.06667,0.50000
0.98805,1.00000,-0.06667,0.00000
0.98606,1.00000,-0.13333,0.00000
0.98207,1.00000,-0.13333,0.00000
0.97809,1.00000,-0.13333,-0.50000
0.97410,0.97297,-0.13333,0.00000
0.97012,0.97297,-0.13333,-0.50000
0.96614,0.94595,-0.13333,0.00000
0.96215,0.94595,-0.13333,0.50000
0.95817,0.97297,-0.20000,0.00000
0.95219,0.97297,-0.06667,0.00000
0.95020,0.97297,-0.20000,0.50000
0.94422,1.00000,-0.26667,-0.50000
0.93625,0.97297,-0.26667,0.00000
0.92829,0.97297,-0.33333,-0.50000
0.91833,0.94595,-0.33333,-0.50000
0.90837,0.91892,-0.26667,-1.00000
0.90040,0.86486,-0.40000,-0.50000
0.88845,0.83784,-0.33333,-0.50000
0.87849,0.81081,-0.33333,-0.50000
0.86853,0.78378,-0.40000,-0.50000
0.85657,0.75676,-0.40000,-0.50000
0.84462,0.72973,-0.33333,-0.50000
0.83466,0.70270,-0.46667,-0.50000
0.82072,0.67568,-0.33333,-0.50000
0.81076,0.64865,-0.40000,0.00000
0.79880,0.64865,-0.33333,-0.50000
0.78884,0.62162,-0.33333,0.00000
0.77888,0.62162,-0.33333,0.00000
0.76892,0.62162,-0.33333,0.00000
0.75896,0.62162,-0.26667,0.00000
0.75100,0.62162,-0.20000,0.50000
0.74502,0.64865,-0.26667,0.50000
0.73705,0.67568,-0.20000,0.00000
0.73108,0.67568,-0.26667,0.50000
0.72311,0.70270,-0.26667,0.50000
0.71514,0.72973,-0.13333,1.00000
0.71116,0.78378,-0.26667,0.50000
0.70319,0.81081,-0.40000,-0.50000
0.69124,0.78378,-0.26667,0.50000
0.68327,0.81081,-0.26667,0.00000
0.67530,0.81081,-0.26667,-0.50000
0.66733,0.78378,-0.26667,0.00000
0.65936,0.78378,-0.26667,-0.50000
0.65139,0.75676,-0.26667,0.00000
0.64343,0.75676,-0.33333,0.00000
0.63347,0.75676,-0.26667,-0.50000
0.62550,0.72973,-0.33333,-0.50000
