# X, Y, VelX, VelY |[169.; 47.;  0.;  0.][293.;307.; 27.; 23.]
0.95222,0.30945,0.00000,0.00000
0.95222,0.30945,0.00000,0.00000
0.95222,0.30945,0.03704,0.04348
0.95563,0.31270,-0.03704,0.08696
0.95222,0.31922,-0.03704,0.13043
0.94881,0.32899,-0.07407,0.17391
0.94198,0.34202,-0.07407,0.17391
0.93515,0.35505,-0.07407,0.26087
0.92833,0.37459,-0.03704,0.34783
0.92491,0.40065,-0.03704,0.39130
0.92150,0.42997,-0.07407,0.43478
0.91468,0.46254,-0.03704,0.47826
0.91126,0.49837,-0.03704,0.52174
0.90785,0.53746,0.03704,0.56522
0.91126,0.57980,0.00000,0.60870
0.91126,0.62541,0.07407,0.65217
0.91809,0.67427,0.03704,0.65217
0.92150,0.72313,0.00000,0.60870
0.92150,0.76873,0.03704,0.60870
0.92491,0.81433,0.07407,0.60870
0.93174,0.85993,0.07407,0.56522
0.93857,0.90228,0.11111,0.52174
0.94881,0.94137,0.11111,0.43478
0.95904,0.97394,0.00000,0.26087
0.95904,0.99349,-0.03704,0.08696
0.95563,1.00000,-0.07407,-0.04348
0.94881,0.99674,-0.18519,-0.13043
0.93174,0.98697,-0.25926,-0.21739
0.90785,0.97068,-0.29630,-0.17391
0.88055,0.95765,-0.35185,-0.19565
0.84812,0.94300,-0.50000,-0.15217
0.80205,0.93160,-0.44444,-0.13043
0.76109,0.92182,-0.48148,-0.08696
0.71672,0.91531,-0.48148,-0.04348
0.67235,0.91205,-0.59259,0.08696
0.61775,0.91857,-0.57407,-0.28261
0.56485,0.89739,-0.55556,-0.13043
0.51365,0.88762,-0.48148,0.06522
0.46928,0.89251,-0.57407,0.13043
0.41638,0.90228,-0.51852,-0.04348
0.36860,0.89902,-0.50000,0.02174
0.32253,0.90065,-0.40741,0.08696
0.28498,0.90717,-0.40741,-0.02174
0.24744,0.90554,-0.46296,-0.04348
0.20478,0.90228,-0.35185,0.15217
0.17235,0.91368,-0.42593,0.23913
0.13311,0.93160,-0.37037,-0.13043
0.09898,0.92182,-0.22222,0.00000
0.07850,0.92182,-0.11111,-0.04348
0.06826,0.91857,-0.03704,-0.13043
0.06485,0.90879,0.00000,-0.21739
0.06485,0.89251,0.07407,-0.39130
0.07167,0.86319,0.07407,-0.43478
0.07850,0.83062,0.07407,-0.47826
0.08532,0.79479,0.03704,-0.52174
0.08874,0.75570,0.03704,-0.56522
0.09215,0.71336,0.03704,-0.56522
0.09556,0.67101,0.03704,-0.56522
0.09898,0.62866,0.03704,-0.52174
0.10239,0.58958,0.03704,-0.52174
0.10580,0.55049,0.00000,-0.52174
0.10580,0.51140,0.00000,-0.52174
0.10580,0.47231,0.03704,-0.47826
0.10922,0.43648,0.03704,-0.43478
0.11263,0.40391,-0.03704,-0.43478
0.10922,0.37134,-0.03704,-0.39130
0.10580,0.34202,0.00000,-0.34783
0.10580,0.31596,0.03704,-0.34783
0.10922,0.28990,0.03704,-0.26087
0.11263,0.27036,0.07407,-0.21739
0.11945,0.25407,0.11111,-0.21739
0.12969,0.23779,0.07407,-0.13043
0.13652,0.22801,0.14815,-0.13043
0.15017,0.21824,0.11111,-0.13043
0.16041,0.20847,0.18519,-0.13043
0.17747,0.19870,0.18519,-0.04348
0.19454,0.19544,0.22222,-0.04348
0.21502,0.19218,0.29630,0.00000
0.24232,0.19218,0.33333,0.00000
0.27304,0.19218,0.37037,0.00000
0.30717,0.19218,0.37037,0.04348
0.34130,0.19544,0.46296,0.10870
0.38396,0.20358,0.48148,0.02174
0.42833,0.20521,0.53704,0.13043
0.47782,0.21498,0.46296,0.15217
0.52048,0.22638,0.51852,0.08696
0.56826,0.23290,0.50000,0.06522
0.61433,0.23779,0.48148,0.08696
0.65870,0.24430,0.44444,0.08696
0.69966,0.25081,0.37037,0.00000
0.73379,0.25081,0.40741,0.04348
0.77133,0.25407,0.48148,0.10870
0.81570,0.26221,0.25926,-0.06522
0.83959,0.25733,0.29630,0.04348
0.86689,0.26059,0.33333,0.00000
0.89761,0.26059,0.25926,0.00000
0.92150,0.26059,0.22222,-0.04348
0.94198,0.25733,0.14815,-0.04348
0.95563,0.25407,0.03704,0.00000
0.95904,0.25407,0.03704,0.04348
0.96246,0.25733,0.03704,0.13043
0.96587,0.26710,-0.07407,0.17391
0.95904,0.28013,-0.03704,0.26087
0.95563,0.29967,-0.11111,0.30435
0.94539,0.32248,-0.07407,0.34783
0.93857,0.34853,-0.07407,0.39130
0.93174,0.37785,-0.07407,0.39130
0.92491,0.40717,-0.03704,0.39130
0.92150,0.43648,-0.03704,0.39130
0.91809,0.46580,-0.03704,0.39130
0.91468,0.49511,0.00000,0.39130
0.91468,0.52443,-0.03704,0.39130
0.91126,0.55375,0.03704,0.39130
0.91468,0.58306,0.00000,0.39130
0.91468,0.61238,0.03704,0.39130
0.91809,0.64169,0.03704,0.39130
0.92150,0.67101,0.03704,0.39130
0.92491,0.70033,0.03704,0.39130
0.92833,0.72964,0.00000,0.34783
0.92833,0.75570,0.00000,0.34783
0.92833,0.78176,0.03704,0.26087
0.93174,0.80130,0.00000,0.21739
0.93174,0.81759,0.00000,0.17391
0.93174,0.83062,0.03704,0.17391
0.93515,0.84365,-0.03704,0.08696
0.93174,0.85016,-0.03704,0.04348
0.92833,0.85342,-0.11111,-0.04348
0.91809,0.85016,-0.18519,-0.08696
0.90102,0.84365,-0.22222,-0.08696
0.88055,0.83713,-0.29630,-0.08696
0.85324,0.83062,-0.29630,-0.04348
0.82594,0.82736,-0.40741,-0.04348
0.78840,0.82410,-0.44444,0.00000
0.74744,0.82410,-0.44444,0.00000
0.70648,0.82410,-0.48148,0.00000
0.66212,0.82410,-0.48148,0.06522
0.61775,0.82899,-0.46296,0.02174
0.57509,0.83062,-0.51852,0.06522
0.52730,0.83550,-0.46296,0.08696
0.48464,0.84202,-0.44444,0.06522
0.44369,0.84691,-0.46296,0.10870
0.40102,0.85505,-0.48148,0.08696
0.35666,0.86156,-0.37037,0.17391
0.32253,0.87459,-0.42593,0.02174
0.28328,0.87622,-0.38889,-0.04348
0.24744,0.87296,-0.25926,0.06522
0.22355,0.87785,-0.27778,0.08696
0.19795,0.88436,-0.37037,-0.10870
0.16382,0.87622,-0.22222,-0.04348
0.14334,0.87296,-0.18519,0.00000
0.12628,0.87296,-0.22222,-0.04348
0.10580,0.86971,-0.14815,-0.04348
0.09215,0.86645,-0.07407,-0.13043
0.08532,0.85668,-0.03704,-0.21739
0.08191,0.84039,0.00000,-0.30435
