# X, Y, VelX, VelY |[ 86.;106.;  0.;  0.][242.;306.; 88.;144.]
0.27273,0.67320,0.02273,0.02778
0.28099,0.68627,0.09091,0.05556
0.31405,0.71242,0.02273,0.05556
0.32231,0.73856,0.06818,0.05556
0.34711,0.76471,0.09091,0.05556
0.38017,0.79085,0.06818,0.05556
0.40496,0.81699,0.11364,0.04167
0.44628,0.83660,0.09091,0.01389
0.47934,0.84314,0.13636,-0.01389
0.52893,0.83660,0.09091,-0.02778
0.56198,0.82353,0.11364,-0.04167
0.60331,0.80392,0.09091,-0.12500
0.63636,0.74510,0.13636,-0.34722
0.68595,0.58170,0.11364,-0.45833
0.72727,0.36601,0.04545,-0.18056
0.74380,0.28105,0.04545,-0.19444
0.76033,0.18954,0.04545,-0.16667
0.77686,0.11111,0.00000,-0.02778
0.77686,0.09804,0.02273,-0.11111
0.78512,0.04575,0.02273,-0.02778
0.79339,0.03268,0.00000,0.00000
0.79339,0.03268,0.00000,0.00000
0.79339,0.03268,0.00000,0.01389
0.79339,0.03922,0.00000,0.19444
0.79339,0.13072,0.04545,0.09722
0.80992,0.17647,0.02273,0.09722
0.81818,0.22222,0.02273,0.20833
0.82645,0.32026,0.02273,0.04167
0.83471,0.33987,-0.02273,0.08333
0.82645,0.37908,0.02273,0.20833
0.83471,0.47712,0.02273,0.27778
0.84298,0.60784,0.00000,0.08333
0.84298,0.64706,0.04545,0.30556
0.85950,0.79085,0.04545,0.04167
0.87603,0.81046,-0.02273,0.01389
0.86777,0.81699,0.06818,0.02778
0.89256,0.83007,0.02273,0.00000
0.90083,0.83007,0.04545,-0.02778
0.91736,0.81699,0.04545,-0.05556
0.93388,0.79085,0.06818,-0.05556
0.95868,0.76471,0.02273,-0.06944
0.96694,0.73203,0.02273,-0.05556
0.97521,0.70588,0.00000,-0.04167
0.97521,0.68627,-0.04545,-0.04167
0.95868,0.66667,-0.02273,-0.04167
0.95041,0.64706,-0.02273,-0.01389
0.94215,0.64052,-0.04545,0.00000
0.92562,0.64052,-0.09091,0.00000
0.89256,0.64052,-0.06818,0.02778
0.86777,0.65359,-0.18182,0.05556
0.80165,0.67974,-0.11364,0.04167
0.76033,0.69935,-0.20455,0.06944
0.68595,0.73203,-0.02273,0.00000
0.67769,0.73203,-0.20455,0.05556
0.60331,0.75817,-0.13636,0.02778
0.55372,0.77124,-0.11364,0.01389
0.51240,0.77778,-0.04545,0.00000
0.49587,0.77778,-0.18182,0.00000
0.42975,0.77778,-0.11364,0.00000
0.38843,0.77778,-0.45455,-0.06944
0.22314,0.74510,-0.15909,-0.06944
0.16529,0.71242,-0.06818,-0.05556
0.14050,0.68627,-0.09091,-0.04167
0.10744,0.66667,-0.09091,-0.09722
0.07438,0.62092,-0.04545,-0.06944
0.05785,0.58824,-0.04545,-0.05556
0.04132,0.56209,-0.02273,-0.06944
0.03306,0.52941,0.00000,-0.11111
0.03306,0.47712,0.00000,-0.04167
0.03306,0.45752,0.00000,-0.04167
0.03306,0.43791,0.02273,-0.02778
0.04132,0.42484,0.00000,-0.01389
0.04132,0.41830,0.00000,0.02778
0.04132,0.43137,0.00000,0.02778
0.04132,0.44444,0.15909,0.52778
0.09917,0.69281,0.09091,0.08333
0.13223,0.73203,0.11364,0.09722
0.17355,0.77778,0.13636,0.08333
0.22314,0.81699,0.40909,0.11111
0.37190,0.86928,0.15909,0.04167
0.42975,0.88889,0.54545,-0.06944
0.62810,0.85621,0.04545,-0.01389
0.64463,0.84967,0.18182,-0.09722
0.71074,0.80392,0.29545,-0.37500
0.81818,0.62745,0.06818,-0.16667
0.84298,0.54902,0.06818,-0.18056
0.86777,0.46405,0.04545,-0.29167
0.88430,0.32680,0.02273,-0.04167
0.89256,0.30719,0.00000,-0.12500
0.89256,0.24837,0.04545,-0.26389
0.90909,0.12418,0.02273,-0.04167
0.91736,0.10458,0.00000,-0.05556
0.91736,0.07843,0.00000,-0.01389
0.91736,0.07190,0.02273,-0.01389
0.92562,0.06536,0.00000,0.01389
0.92562,0.07190,0.00000,0.04167
0.92562,0.09150,0.00000,0.19444
0.92562,0.18301,0.00000,0.15278
0.92562,0.25490,0.00000,0.22222
0.92562,0.35948,0.00000,0.13889
0.92562,0.42484,0.00000,0.11111
0.92562,0.47712,-0.02273,0.19444
0.91736,0.56863,0.00000,0.12500
0.91736,0.62745,-0.02273,0.34722
0.90909,0.79085,0.02273,0.05556
0.91736,0.81699,0.02273,0.01389
0.92562,0.82353,0.06818,-0.02778
0.95041,0.81046,0.02273,-0.04167
0.95868,0.79085,0.11364,-0.23611
1.00000,0.67974,-0.02273,-0.05556
0.99174,0.65359,0.00000,-0.04167
0.99174,0.63399,-0.04545,-0.04167
0.97521,0.61438,-0.02273,-0.01389
