# X, Y, VelX, VelY |[ 18.;130.;  0.;  0.][304.;342.;126.;106.]
0.14474,0.63158,-0.01587,0.01887
0.13816,0.63743,0.00000,0.03774
0.13816,0.64912,0.00000,0.03774
0.13816,0.66082,0.00000,0.05660
0.13816,0.67836,0.00000,0.03774
0.13816,0.69006,0.01587,0.07547
0.14474,0.71345,0.01587,0.05660
0.15132,0.73099,0.01587,0.09434
0.15789,0.76023,0.01587,0.05660
0.16447,0.77778,0.04762,0.11321
0.18421,0.81287,0.03175,0.07547
0.19737,0.83626,0.04762,0.07547
0.21711,0.85965,0.06349,0.07547
0.24342,0.88304,0.06349,0.05660
0.26974,0.90058,0.04762,0.03774
0.28947,0.91228,0.04762,0.01887
0.30921,0.91813,0.09524,0.03774
0.34868,0.92982,0.06349,0.00000
0.37500,0.92982,0.07937,-0.01887
0.40789,0.92398,0.03175,-0.03774
0.42105,0.91228,0.06349,-0.09434
0.44737,0.88304,0.04762,-0.07547
0.46711,0.85965,0.06349,-0.22642
0.49342,0.78947,0.01587,-0.07547
0.50000,0.76608,0.04762,-0.20755
0.51974,0.70175,0.04762,-0.22642
0.53947,0.63158,0.03175,-0.22642
0.55263,0.56140,0.09524,-0.37736
0.59211,0.44444,0.01587,-0.11321
0.59868,0.40936,0.07937,-0.33962
0.63158,0.30409,0.04762,-0.20755
0.65132,0.23977,0.01587,-0.09434
0.65789,0.21053,0.06349,-0.20755
0.68421,0.14620,0.03175,-0.11321
0.69737,0.11111,0.01587,-0.09434
0.70395,0.08187,0.01587,-0.09434
0.71053,0.05263,0.03175,-0.03774
0.72368,0.04094,0.01587,-0.05660
0.73026,0.02339,0.03175,-0.01887
0.74342,0.01754,0.01587,-0.01887
0.75000,0.01170,0.00000,-0.01887
0.75000,0.00585,0.03175,0.00000
0.76316,0.00585,0.00000,-0.01887
0.76316,0.00000,0.01587,0.01887
0.76974,0.00585,0.00000,0.00000
0.76974,0.00585,0.00000,0.00000
0.76974,0.00585,0.00000,0.03774
0.76974,0.01754,-0.01587,0.01887
0.76316,0.02339,0.00000,0.05660
0.76316,0.04094,-0.04762,0.09434
0.74342,0.07018,0.00000,0.03774
0.74342,0.08187,-0.03175,0.07547
0.73026,0.10526,-0.01587,0.05660
0.72368,0.12281,0.00000,0.09434
0.72368,0.15205,0.00000,0.09434
0.72368,0.18129,0.00000,0.09434
0.72368,0.21053,-0.01587,0.15094
0.71711,0.25731,0.00000,0.33962
0.71711,0.36257,-0.03175,0.15094
0.70395,0.40936,0.01587,0.13208
0.71053,0.45029,-0.03175,0.22642
0.69737,0.52047,-0.01587,0.16981
0.69079,0.57310,0.00000,0.15094
0.69079,0.61988,-0.01587,0.28302
0.68421,0.70760,0.00000,0.13208
0.68421,0.74854,-0.01587,0.09434
0.67763,0.77778,0.00000,0.11321
0.67763,0.81287,0.00000,0.09434
0.67763,0.84211,0.00000,0.05660
0.67763,0.85965,0.00000,0.05660
0.67763,0.87719,0.00000,0.05660
0.67763,0.89474,0.00000,0.03774
0.67763,0.90643,0.01587,0.01887
0.68421,0.91228,0.00000,0.00000
0.68421,0.91228,0.03175,-0.01887
0.69737,0.90643,0.00000,-0.05660
0.69737,0.88889,0.03175,-0.05660
0.71053,0.87135,0.01587,-0.09434
0.71711,0.84211,0.01587,-0.09434
0.72368,0.81287,0.01587,-0.15094
0.73026,0.76608,0.01587,-0.07547
0.73684,0.74269,0.01587,-0.16981
0.74342,0.69006,0.01587,-0.09434
0.75000,0.66082,0.03175,-0.11321
0.76316,0.62573,0.01587,-0.05660
0.76974,0.60819,0.01587,-0.11321
